race,gender,vote_counted,perc_col,county_desc,normed_voter_total,normed_perc_col
ASIAN,F,N,0.000320171756723926,1505,49.456132390136275,0.0013320733933529245
ASIAN,M,N,0.00024124569576407449,1134,37.26462068466083,0.0010037018126659246
ASIAN,U,N,1.3615277362346355e-05,64,2.1031179222383534,5.664631041500809e-05
BLACK or AFRICAN AMERICAN,F,N,0.0016010715223284168,7526,1542.9327027599702,0.041558033387394236
BLACK or AFRICAN AMERICAN,M,N,0.0008243624965483144,3875,794.4278797760941,0.021397472678202585
BLACK or AFRICAN AMERICAN,U,N,6.871460293809175e-05,323,66.21940778520732,0.0017835828838863056
INDIAN AMERICAN or ALASKA NATIVE,F,N,3.6591057911305826e-05,172,2.1424152450316054,5.7704761927349414e-05
INDIAN AMERICAN or ALASKA NATIVE,M,N,2.4464951510466106e-05,115,1.4324287975502012,3.858167221886734e-05
INDIAN AMERICAN or ALASKA NATIVE,U,N,1.7019096702932944e-06,8,0.09964722069914443,2.683942415225554e-06
NATIVE HAWAIIAN or PACIFIC ISLANDER,F,N,1.063693543933309e-06,5,0.0040797410729441225,1.0988555457931157e-07
NATIVE HAWAIIAN or PACIFIC ISLANDER,M,N,2.127387087866618e-07,1,0.0008159482145888245,2.1977110915862313e-08
OTHER,F,N,0.00037569655971724474,1766,104.44201709908666,0.002813087586961249
OTHER,M,N,0.00027464567304358035,1291,76.35030808319415,0.0020564530434694066
OTHER,U,N,1.638088057657296e-05,77,4.553813882576258,0.0001226544417870986
TWO or MORE RACES,F,N,4.722799335063892e-05,222,15.135184361382105,0.0004076577649106545
TWO or MORE RACES,M,N,3.637831920251917e-05,171,11.658182548632162,0.0003140066567555041
TWO or MORE RACES,U,N,3.191080631799927e-06,15,1.0226475919852773,2.7544443575044218e-05
UNDESIGNATED,F,N,0.00021401514103938177,1006,0.09694399710021315,2.6111325924918563e-06
UNDESIGNATED,M,N,0.00016699988639752952,785,0.05902884345327523,1.589909036643256e-06
UNDESIGNATED,U,N,0.0011279406339868808,5302,2.6928019152080562,7.252912048443677e-05
WHITE,F,N,0.006572775146672703,30896,19202.98673293875,0.517221757214453
WHITE,M,N,0.004913200479427954,23095,14354.3817515931,0.3866272812942709
WHITE,U,N,0.00029357941812559326,1380,857.7201479626966,0.023102214686559593
